Instructions (29      , 38      ) at Addr [32392     ]  --> [i64_store             , i64_store             ] | 0 0
Instructions (30      , 39      ) at Addr [32416     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (36      , 29      ) at Addr [32392     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (31      , 31      ) at Addr [32416     ]  --> [i64_store             , i64_store             ] | 0 0
Instructions (29      , 29      ) at Addr [32392     ]  --> [i64_store             , i64_store             ] | 0 0
Instructions (41      , 32      ) at Addr [32384     ]  --> [i64_atomic_rmw_xchg   , i64_load              ] | 0 0
Instructions (13      , 27      ) at Addr [33584     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (56      , 45      ) at Addr [32800     ]  --> [i64_store             , i64_load              ] | 0 0
Instructions (13      , 56      ) at Addr [32944     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (28      , 29      ) at Addr [32392     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (30      , 31      ) at Addr [32416     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (46      , 42      ) at Addr [32256     ]  --> [i64_atomic_rmw_cmpxchg, i64_load              ] | 0 0
Instructions (10      , 14      ) at Addr [32128     ]  --> [i64_load              , i64_atomic_rmw_cmpxchg] | 0 0
