Instructions (57      , 67      ) at Addr [32520     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (61      , 70      ) at Addr [32512     ]  --> [i64_load              , i64_atomic_rmw_xchg   ] | 0 0
Instructions (58      , 65      ) at Addr [32520     ]  --> [i64_store             , i64_load              ] | 0 0
Instructions (45      , 56      ) at Addr [32816     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (58      , 58      ) at Addr [32520     ]  --> [i64_store             , i64_store             ] | 0 0
Instructions (60      , 68      ) at Addr [32544     ]  --> [i64_store             , i64_store             ] | 0 0
Instructions (57      , 58      ) at Addr [32520     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (13      , 27      ) at Addr [32896     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (31      , 39      ) at Addr [32416     ]  --> [i64_store             , i64_store             ] | 0 0
Instructions (14      , 10      ) at Addr [32128     ]  --> [i64_atomic_rmw_cmpxchg, i64_load              ] | 0 0
