Instructions (32      , 41      ) at Addr [32384     ]  --> [i64_load              , i64_atomic_rmw_xchg   ] | 0 0
Instructions (28      , 38      ) at Addr [32392     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (61      , 70      ) at Addr [32512     ]  --> [i64_load              , i64_atomic_rmw_xchg   ] | 0 0
Instructions (58      , 65      ) at Addr [32520     ]  --> [i64_store             , i64_load              ] | 0 0
Instructions (60      , 60      ) at Addr [32544     ]  --> [i64_store             , i64_store             ] | 0 0
Instructions (58      , 67      ) at Addr [32520     ]  --> [i64_store             , i64_store             ] | 0 0
Instructions (42      , 46      ) at Addr [32256     ]  --> [i64_load              , i64_atomic_rmw_cmpxchg] | 0 0
Instructions (14      , 10      ) at Addr [32128     ]  --> [i64_atomic_rmw_cmpxchg, i64_load              ] | 0 0
Instructions (56      , 45      ) at Addr [32800     ]  --> [i64_store             , i64_load              ] | 0 0
