Instructions (57      , 58      ) at Addr [32520     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (57      , 67      ) at Addr [32520     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (28      , 38      ) at Addr [32392     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (13      , 27      ) at Addr [33664     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (60      , 60      ) at Addr [32544     ]  --> [i64_store             , i64_store             ] | 0 0
Instructions (31      , 39      ) at Addr [32416     ]  --> [i64_store             , i64_store             ] | 0 0
Instructions (46      , 42      ) at Addr [32256     ]  --> [i64_atomic_rmw_cmpxchg, i64_load              ] | 0 0
Instructions (60      , 59      ) at Addr [32544     ]  --> [i64_store             , i64_load              ] | 0 0
Instructions (56      , 45      ) at Addr [33104     ]  --> [i64_store             , i64_load              ] | 0 0
Instructions (13      , 56      ) at Addr [33632     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (30      , 31      ) at Addr [32416     ]  --> [i64_load              , i64_store             ] | 0 0
