Instructions (29      , 28      ) at Addr [32392     ]  --> [i64_store             , i64_load              ] | 0 0
Instructions (67      , 57      ) at Addr [32520     ]  --> [i64_store             , i64_load              ] | 0 0
Instructions (27      , 45      ) at Addr [33648     ]  --> [i64_store             , i64_load              ] | 0 0
Instructions (28      , 38      ) at Addr [32392     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (57      , 58      ) at Addr [32520     ]  --> [i64_load              , i64_store             ] | 0 0
Instructions (31      , 31      ) at Addr [32416     ]  --> [i64_store             , i64_store             ] | 0 0
Instructions (27      , 13      ) at Addr [33504     ]  --> [i64_store             , i64_load              ] | 0 0
Instructions (56      , 45      ) at Addr [33760     ]  --> [i64_store             , i64_load              ] | 0 0
Instructions (58      , 67      ) at Addr [32520     ]  --> [i64_store             , i64_store             ] | 0 0
Instructions (46      , 42      ) at Addr [32256     ]  --> [i64_atomic_rmw_cmpxchg, i64_load              ] | 0 0
