Instructions (15      , 15      ) at Addr [1128      ]  --> [i32_store             , i32_store             ] | 0 0
Instructions (20      , 20      ) at Addr [1128      ]  --> [i32_store             , i32_store             ] | 0 0
Instructions (14      , 20      ) at Addr [1128      ]  --> [i32_load              , i32_store             ] | 0 0
Instructions (20      , 15      ) at Addr [1128      ]  --> [i32_store             , i32_store             ] | 0 0
Instructions (14      , 15      ) at Addr [1128      ]  --> [i32_load              , i32_store             ] | 0 0
Instructions (5       , 20      ) at Addr [1128      ]  --> [i32_store             , i32_store             ] | 0 0
Instructions (5       , 15      ) at Addr [1128      ]  --> [i32_store             , i32_store             ] | 0 0
Instructions (4       , 20      ) at Addr [1128      ]  --> [i32_load              , i32_store             ] | 0 0
Instructions (5       , 14      ) at Addr [1128      ]  --> [i32_store             , i32_load              ] | 0 0
Instructions (4       , 15      ) at Addr [1128      ]  --> [i32_load              , i32_store             ] | 0 0
